equilibrium,n_i,n_j,FC,player,action,probability
0,0,0,6,2,2,4.5094027441983025e-05
0,0,0,6,1,3,3.038411668793872e-07
0,0,0,6,2,3,3.038411668793872e-07
0,0,0,6,1,4,2.047265678573594e-09
0,0,0,6,2,4,2.047265678573594e-09
0,0,0,6,1,5,1.3794367635275619e-11
0,0,0,6,2,5,1.3794367635275619e-11
0,0,0,6,1,6,9.294571801238705e-14
0,0,0,6,2,6,9.294571801238705e-14
0,0,0,6,1,7,6.262633217594073e-16
0,0,0,6,2,7,6.262633217594073e-16
0,0,0,6,1,8,4.2197290694860945e-18
0,0,0,6,2,8,4.2197290694860945e-18
0,0,0,6,1,9,2.8432310820697546e-20
0,0,0,6,2,9,2.8432310820697546e-20
0,0,0,6,1,10,1.9157540337138428e-22
0,0,0,6,2,10,1.9157540337138428e-22
0,0,0,6,1,11,1.2908249142448065e-24
0,0,0,6,2,11,1.2908249142448065e-24
0,0,0,7,1,0,0.9975212478233338
0,0,0,7,2,0,0.9975212478233338
0,0,0,7,1,1,0.002472607964313031
0,0,0,7,2,1,0.002472607964313031
0,0,0,7,1,2,6.1289823735834986e-06
0,0,0,7,2,2,6.1289823735834986e-06
0,0,0,7,1,3,1.5192228399269842e-08
0,0,0,7,2,3,1.5192228399269842e-08
0,0,0,7,1,4,3.765776921310258e-11
0,0,0,7,2,4,3.765776921310258e-11
0,0,0,7,1,5,9.334427740537741e-14
0,0,0,7,2,5,9.334427740537741e-14
0,0,0,7,1,6,2.3137733079792764e-16
0,0,0,7,2,6,2.3137733079792764e-16
0,0,0,7,1,7,5.735270623466151e-19
0,0,0,7,2,7,5.735270623466151e-19
0,0,0,7,1,8,1.4216314541687345e-21
0,0,0,7,2,8,1.4216314541687345e-21
0,0,0,7,1,9,3.5238720614381115e-24
0,0,0,7,2,9,3.5238720614381115e-24
0,0,0,7,1,10,8.734805542583485e-27
0,0,0,7,2,10,8.734805542583485e-27
0,0,0,7,1,11,2.1651418251436188e-29
0,0,0,7,2,11,2.1651418251436188e-29
0,0,0,8,1,0,0.9990881180344455
0,0,0,8,2,0,0.9990881180344455
0,0,0,8,1,1,0.0009110504368354127
0,0,0,8,2,1,0.0009110504368354127
0,0,0,8,1,2,8.307704630607767e-07
0,0,0,8,2,2,8.307704630607767e-07
0,0,0,8,1,3,7.575646027804966e-10
0,0,0,8,2,3,7.575646027804966e-10
0,0,0,8,1,4,6.908094990180056e-13
0,0,0,8,2,4,6.908094990180056e-13
0,0,0,8,1,5,6.2993672378826955e-16
0,0,0,8,2,5,6.2993672378826955e-16
0,0,0,8,1,6,5.744279378630196e-19
0,0,0,8,2,6,5.744279378630196e-19
0,0,0,8,1,7,5.238104770479579e-22
0,0,0,8,2,7,5.238104770479579e-22
0,0,0,8,1,8,4.7765332738854055e-25
0,0,0,8,2,8,4.7765332738854055e-25
0,0,0,8,1,9,4.355634550327172e-28
0,0,0,8,2,9,4.355634550327172e-28
0,0,0,8,1,10,3.9718245949895035e-31
0,0,0,8,2,10,3.9718245949895035e-31
0,0,0,8,1,11,3.621835218516799e-34
0,0,0,8,2,11,3.621835218516799e-34
0,0,0,9,1,0,0.9996645373720976
0,0,0,9,2,0,0.9996645373720976
0,0,0,9,1,1,0.0003353500927277926
0,0,0,9,2,1,0.0003353500927277926
0,0,0,9,1,2,1.1249742337381633e-07
0,0,0,9,2,2,1.1249742337381633e-07
0,0,0,9,1,3,3.7738681277241885e-11
0,0,0,9,2,3,3.7738681277241885e-11
0,0,0,9,1,4,1.2659917194838884e-14
0,0,0,9,2,4,1.2659917194838884e-14
0,0,0,9,1,5,4.246929091208848e-18
0,0,0,9,2,5,4.246929091208848e-18
0,0,0,9,1,6,1.4246859934525468e-21
0,0,0,9,2,6,1.4246859934525468e-21
0,0,0,9,1,7,4.77928907299492e-25
0,0,0,9,2,7,4.77928907299492e-25
0,0,0,9,1,8,1.603272871932636e-28
0,0,0,9,2,8,1.603272871932636e-28
0,0,0,9,1,9,5.37838130863314e-32
0,0,0,9,2,9,5.37838130863314e-32
0,0,0,9,1,10,1.804245927655824e-35
0,0,0,9,2,10,1.804245927655824e-35
0,0,0,9,1,11,6.052570802738279e-39
0,0,0,9,2,11,6.052570802738279e-39
0,0,0,10,1,0,0.9998765901959132
0,0,0,10,2,0,0.9998765901959132
0,0,0,10,1,1,0.00012339457410693482
0,0,0,10,2,1,0.00012339457410693482
0,0,0,10,1,2,1.5228100215896087e-08
0,0,0,10,2,2,1.5228100215896087e-08
0,0,0,10,1,3,1.8792968642560585e-12
0,0,0,10,2,3,1.8792968642560585e-12
